Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1990:Q2,ageunder40,3916359,2175766,1542859,632907,1740593,367939,42356,87954,78724,9230,14243,6587,7656,213495,96362,31866,125274,221223,475459,64423,1445903,1441805,1058615,369103,1443,12645,4098,2470456,35810795
1990:Q3,age70plus,4161468,1289237,1089400,199837,2872232,995203,79260,391695,340918,50777,84232,51271,32961,326925,37815,9967,6735,516616,392308,31476,97146,95539,41423,33666,158,20293,1608,4064322,14016614
1990:Q3,age55to69,8320718,2498663,2006844,491820,5822055,972956,173714,399741,353060,46681,215875,138276,77599,664104,121355,150663,191777,1790674,1077088,64106,509582,504673,354550,108295,510,41318,4909,7811136,19329642
1990:Q3,age40to54,8074149,3200997,2507813,693184,4873152,680544,113180,284773,226606,58167,57745,39707,18038,560629,136433,188283,380550,1251987,1133246,85781,1343179,1337474,979300,294000,622,63552,5705,6730970,24778227
1990:Q3,ageunder40,3896557,2189983,1558669,631314,1706574,369074,45427,86702,76586,10116,14705,7066,7639,176043,96927,31424,123668,221963,475056,65585,1465447,1461398,1071993,376341,628,12436,4049,2431111,35861104
1990:Q4,age70plus,4288645,1299158,1092005,207153,2989487,1011257,82815,408613,346444,62168,98588,62329,36260,372325,38019,10208,6491,526627,402164,32379,92103,90337,36566,33080,176,20515,1766,4196541,14108324
1990:Q4,age55to69,8485394,2493364,1995230,498133,5992031,976429,171534,420133,362519,57614,222118,145344,76774,758363,125955,154498,202887,1808414,1086280,65419,531584,526428,368133,113860,581,43854,5156,7953810,19332656
1990:Q4,age40to54,8248383,3202257,2502328,699929,5046126,695008,116499,308292,240771,67521,61621,43676,17945,616611,137774,196111,398644,1293916,1134637,87013,1364743,1358932,999585,294175,674,64498,5811,6883640,24879743
1990:Q4,ageunder40,3928394,2190659,1556832,633827,1737734,376336,47159,83207,74982,8225,16408,8818,7590,195562,97501,31620,129174,222945,471145,66677,1486373,1482342,1085526,383277,707,12832,4031,2442021,35905440
1991:Q1,age70plus,4424084,1331295,1112766,218529,3092790,1020098,95965,396993,331154,65839,105306,66196,39110,445070,38247,10177,7383,536510,404654,32385,84138,82429,32395,29726,306,20001,1709,4339946,14197338
1991:Q1,age55to69,8651931,2501867,2000889,500978,6150064,970801,187268,398479,336155,62324,221645,146524,75121,890329,130524,154929,220620,1824885,1084662,65921,543292,538075,380467,111521,1032,45055,5217,8108640,19325357
1991:Q1,age40to54,8406258,3185136,2482078,703057,5221122,701742,129370,309246,240026,69219,64204,46219,17986,694477,139257,201620,424507,1337007,1132013,87680,1376052,1370316,1020448,283426,1144,65298,5736,7030205,25000014
1991:Q1,ageunder40,3970179,2196889,1551670,645219,1773290,376579,52266,84925,76945,7979,16660,9212,7448,224389,98070,31344,136963,223845,461079,67171,1492198,1488223,1096382,377535,1247,13059,3975,2477981,35944001
1991:Q2,age70plus,4451964,1356257,1131281,224976,3095706,1015092,93041,406419,336789,69630,108648,66247,42401,426793,39086,10326,5745,547038,410972,32546,82882,81264,33437,28350,93,19384,1618,4369081,14283725
1991:Q2,age55to69,8684607,2522293,2018897,503397,6162313,948498,172396,413005,345686,67319,218959,145155,73804,895803,135767,157477,223873,1842158,1087848,66528,559847,554600,394622,113594,321,46063,5246,8124760,19308610
1991:Q2,age40to54,8500052,3204340,2496635,707705,5295712,692962,126480,326286,255521,70765,66208,48256,17951,695376,141393,208954,434702,1382429,1132397,88525,1404622,1398985,1052303,280231,330,66121,5637,7095430,25138052
1991:Q2,ageunder40,3954702,2203618,1555999,647620,1751084,363467,51698,82979,75351,7628,16221,8871,7350,220378,98783,31374,139690,224975,453762,67758,1506975,1503061,1110289,379131,379,13262,3914,2447727,35976986
1991:Q3,age70plus,4510961,1361101,1130789,230311,3149861,1017158,94113,404395,341000,63395,118452,73241,45211,456743,38701,10406,5653,557250,414283,32707,88480,86953,37811,27631,77,21434,1527,4422482,14367551
1991:Q3,age55to69,8792936,2543014,2031677,511337,6249922,934464,165103,417188,353238,63950,218598,146902,71696,968552,139480,159119,236030,1857761,1086521,67107,570704,565431,397916,115457,271,51787,5273,8222232,19283281
1991:Q3,age40to54,8686083,3260133,2541636,718496,5425950,693111,127604,334670,270996,63674,69743,51683,18061,737439,142571,215825,455264,1428769,1131520,89435,1428209,1422669,1076024,278666,260,67718,5540,7257874,25292870
1991:Q3,ageunder40,3968216,2209618,1566287,643331,1758598,357349,52514,84211,73711,10500,16942,9781,7161,233511,99182,31283,145494,225949,443823,68339,1501739,1497887,1102752,380746,316,14073,3852,2466477,36004594
1991:Q4,age70plus,4679582,1385840,1149410,236430,3293742,1025647,96814,400922,339057,61864,135364,88454,46910,565052,38960,10525,6176,567589,413305,33388,93551,92084,40676,27542,148,23719,1467,4586031,14448887
1991:Q4,age55to69,9004188,2558737,2045877,512860,6445451,927751,160757,414777,350116,64661,218999,150851,68148,1146369,143909,161162,251550,1872906,1079172,68100,592670,587345,408572,120373,536,57864,5325,8411518,19250234
1991:Q4,age40to54,8918388,3283816,2560220,723595,5634573,701384,130430,342569,281998,60571,74825,56360,18465,841531,144425,223237,480033,1476693,1128670,90776,1464173,1458699,1108233,280574,480,69411,5474,7454215,25463479
1991:Q4,ageunder40,4018314,2219639,1575077,644561,1798675,357465,53897,85138,73209,11929,18985,12184,6801,273245,99735,31256,152419,226946,430340,69249,1516834,1513039,1110399,387092,617,14931,3795,2501480,36027023
1992:Q1,age70plus,4686773,1424589,1179960,244629,3262184,998987,104115,410624,345737,64887,130120,81317,48802,532911,39285,10482,3301,583189,415087,34084,98863,97431,50362,25070,173,21826,1433,4587910,14527800
1992:Q1,age55to69,9005639,2579133,2068102,511031,6426505,880656,164355,432574,363013,69561,210234,145499,64736,1135580,148359,161206,248475,1900694,1075297,69075,591279,585881,412031,116636,648,56566,5397,8414360,19210336
1992:Q1,age40to54,8987845,3290791,2565395,725396,5697054,669220,137889,363000,301965,61035,76998,58149,18849,835450,146445,229268,484721,1533904,1127970,92188,1489672,1484240,1141830,271810,533,70067,5433,7498173,25648893
1992:Q1,ageunder40,3981007,2232237,1581089,651148,1748770,324507,56892,82541,70486,12055,16857,10399,6458,264808,100298,30956,153018,229988,418747,70158,1503213,1499471,1104053,379837,735,14846,3742,2477794,36044472
1992:Q2,age70plus,4726351,1459164,1205047,254117,3267187,998471,101509,402789,338243,64547,137376,86696,50680,517837,38770,10682,1539,604150,419115,34949,105824,104412,57158,24173,221,22861,1412,4620527,14604359
1992:Q2,age55to69,9027119,2597716,2085605,512111,6429402,863775,150740,421685,349979,71706,205483,144259,61223,1147927,151761,164098,251723,1927902,1074145,70165,599631,594151,415057,117855,856,60383,5480,8427488,19164451
1992:Q2,age40to54,9095680,3305018,2574988,730030,5790662,668035,135655,367483,308901,58583,81186,61925,19261,843510,147832,237812,496875,1589513,1128983,93779,1518966,1513561,1171568,269812,639,71541,5406,7576714,25848123
1992:Q2,ageunder40,3976200,2239376,1582413,656963,1736824,316466,56377,84503,71234,13268,16996,10894,6102,262265,100652,31059,155777,232970,408594,71166,1498021,1494329,1097460,380492,958,15420,3692,2478179,36057140
1992:Q3,age70plus,4796405,1470018,1211431,258587,3326386,1002893,101316,402114,344003,58111,141704,89131,52573,538006,39792,10807,1080,624916,427882,35877,104624,103216,57330,23509,132,22245,1408,4691780,14678632
1992:Q3,age55to69,9147743,2627718,2106780,520938,6520025,852476,141521,430516,362081,68436,199135,141484,57651,1207610,156931,166036,262049,1953635,1078837,71278,616065,610489,426454,122201,532,61302,5576,8531678,19113443
1992:Q3,age40to54,9322170,3377516,2633395,744121,5944654,673074,135856,381757,330402,51354,85371,65679,19692,880157,150671,245807,517407,1646127,1132956,95472,1552965,1547570,1204166,270429,348,72627,5395,7769205,26060183
1992:Q3,ageunder40,4006126,2260459,1612382,648078,1745667,313106,56688,84665,68256,16409,16531,10791,5740,271649,101371,31034,160922,235803,401694,72203,1513569,1509925,1107928,385794,582,15622,3644,2492557,36065224
1992:Q4,age70plus,4935082,1480914,1218017,262897,3454168,1002846,98627,401583,342524,59060,139719,88680,51039,648689,42288,11436,2446,643221,426496,36817,107947,106486,61476,23432,188,21390,1461,4827135,14750693
1992:Q4,age55to69,9354036,2643929,2116662,527267,6710108,862680,137186,431956,360077,71878,199085,142338,56747,1335509,152845,175536,270417,2003556,1069751,71588,623640,618251,432039,122356,739,63116,5389,8730396,19058289
1992:Q4,age40to54,9595562,3449654,2697233,752422,6145907,689657,132258,377922,324330,53591,91527,71487,20041,988596,156832,255037,530215,1677838,1148558,97467,1595329,1589799,1234158,282326,552,72763,5530,8000233,26283958
1992:Q4,ageunder40,4059982,2271174,1620292,650882,1788808,318846,52192,88294,69422,18871,16024,10401,5623,298448,105376,32445,171017,247603,385460,73103,1529658,1525928,1113227,396655,831,15214,3730,2530324,36068966
1993:Q1,age70plus,5063122,1545376,1273721,271655,3517746,978204,101777,412147,341050,71097,147517,97943,49575,686148,44653,11730,5465,653787,438834,37486,110740,109216,66064,20166,312,22674,1524,4952382,14820630
1993:Q1,age55to69,9455206,2653673,2135569,518104,6801533,845752,142445,443883,358084,85799,202354,146412,55941,1366866,148553,180982,287568,2033764,1077707,71660,618291,613082,430159,113125,1194,68604,5209,8836915,19000402
1993:Q1,age40to54,9683390,3399136,2654747,744389,6284254,677840,134583,382967,318550,64417,98652,78270,20382,1041832,162981,261128,553941,1698676,1172332,99322,1616499,1610822,1254987,281298,1022,73515,5677,8066891,26517839
1993:Q1,ageunder40,4072619,2278534,1606068,672465,1794085,302106,49762,88240,70496,17744,17301,11783,5519,300853,109315,33301,184010,256387,378989,73821,1516656,1512838,1103494,392673,1388,15284,3818,2555963,36068776
1993:Q2,age70plus,5114875,1559834,1282579,277255,3555041,968546,100504,406973,328622,78351,154259,106201,48058,706287,47331,12045,6273,664362,450499,37963,111637,110049,69079,18932,284,21754,1588,5003238,14888536
1993:Q2,age55to69,9527811,2684229,2156468,527760,6843582,845847,140466,431628,336248,95380,205747,150634,55113,1375980,144585,186612,293003,2063720,1084425,71569,625148,620121,437950,110825,1057,70288,5028,8902662,18941304
1993:Q2,age40to54,9875313,3477294,2720484,756810,6398018,684276,132491,373456,301680,71776,105659,84916,20742,1082667,169505,267579,564856,1720196,1196250,101085,1657987,1652160,1287980,289462,1017,73700,5827,8217326,26760088
1993:Q2,ageunder40,4099683,2295176,1620555,674621,1804507,299428,45844,91738,73920,17817,18366,12956,5410,297687,113294,34186,192842,265166,371546,74410,1532810,1528905,1113336,399443,1260,14865,3904,2566873,36065106
1993:Q3,age70plus,5194286,1567481,1285666,281816,3626804,961620,100729,408900,322995,85904,148583,102083,46500,756740,50158,12520,7440,675317,465986,38812,112806,111153,68389,18520,327,23916,1653,5081480,14954504
1993:Q3,age55to69,9664671,2717366,2178763,538603,6947305,849356,140948,432687,327342,105345,204921,150645,54275,1422511,140760,194045,300367,2094480,1095458,71773,641835,636989,446966,111602,1185,77235,4845,9022836,18882520
1993:Q3,age40to54,10124207,3568667,2797221,771445,6555540,694593,131930,371913,292383,79530,110370,89253,21117,1147626,176252,275746,578550,1742849,1222557,103153,1701620,1695640,1317946,301660,1290,74744,5980,8422587,27008970
1993:Q3,ageunder40,4135194,2308573,1634370,674203,1826620,299512,42457,92887,75370,17517,17231,11932,5299,304020,117270,35324,202209,274083,366406,75221,1556690,1552700,1125230,410886,1459,15125,3990,2578504,36058406
1993:Q4,age70plus,5318126,1599263,1308482,290782,3718863,950642,104115,429520,323750,105770,147407,102483,44924,810452,53023,12620,7822,685257,479004,39002,118432,116714,71159,19996,329,25230,1718,5199694,15018628
1993:Q4,age55to69,9817056,2753117,2207074,546044,7063938,848824,146535,455564,329607,125956,205650,152193,53457,1472227,136968,197078,303584,2122829,1103220,71459,656518,651855,451878,116110,1156,82711,4663,9160538,18825571
1993:Q4,age40to54,10348740,3627557,2845714,781843,6721184,700546,134580,386277,289719,96558,115616,94116,21499,1215980,183116,280320,587649,1764397,1247922,104781,1751995,1745861,1347600,321273,1415,75572,6135,8596745,27262748
1993:Q4,ageunder40,4163759,2329053,1645473,683580,1834707,296102,40053,86256,75615,10641,16915,11725,5189,311162,121217,35850,209943,282602,358990,75616,1578567,1574491,1129039,428790,1468,15194,4075,2585193,36049131
1994:Q1,age70plus,5365163,1648892,1349386,299506,3716271,935901,108615,458394,347642,110752,146516,103116,43400,759325,54793,12662,7307,695530,497607,39622,115018,113229,70728,17483,448,24569,1788,5250145,15081000
1994:Q1,age55to69,9868822,2787333,2242757,544576,7081488,844650,153902,507246,373390,133856,206553,153819,52734,1394507,132005,199436,302082,2152216,1117396,71495,657993,653509,456226,110910,1528,84845,4484,9210829,18771981
1994:Q1,age40to54,10440403,3629220,2846334,782886,6811183,702293,138348,412634,309885,102749,120707,98836,21871,1202863,189061,284385,591101,1786766,1276280,106743,1781254,1774958,1371942,324994,2128,75893,6296,8659149,27519687
1994:Q1,ageunder40,4155062,2343081,1643892,699190,1811981,289453,37919,82221,71293,10929,16660,11571,5089,286196,124865,36277,215762,291243,355113,76271,1582563,1578402,1131056,430489,2022,14836,4160,2572499,36037730
1994:Q2,age70plus,5404187,1678908,1371531,307377,3725279,916450,108130,482249,364285,117964,141509,99725,41783,734576,56778,12477,8415,705214,519527,39954,120052,118189,75262,18256,581,24091,1862,5284135,15141714
1994:Q2,age55to69,9945135,2827764,2276310,551455,7117371,835869,153295,549992,406211,143781,205574,153615,51959,1349656,127326,199198,309310,2180616,1135210,71324,667760,663451,460955,113264,1921,87311,4309,9277376,18723274
1994:Q2,age40to54,10600589,3687641,2894209,793432,6912948,698473,137105,433344,322601,110743,124566,102302,22264,1209236,195254,286196,605543,1808423,1306292,108517,1832427,1825966,1404528,342124,3047,76268,6461,8768162,27778050
1994:Q2,ageunder40,4150500,2355764,1648413,707351,1794736,278703,34329,77326,67471,9855,15730,10751,4980,269647,128527,36332,224639,299654,353106,76743,1600731,1596485,1134372,444936,2658,14519,4245,2549770,36024658
1994:Q3,age70plus,5460234,1681679,1368154,313525,3778555,908219,111702,488300,370344,117957,138080,97951,40129,754290,62140,12582,10465,715563,536289,40925,123847,121913,78871,19518,607,22918,1934,5336387,15200863
1994:Q3,age55to69,10066389,2855177,2291703,563473,7211212,840109,159216,566965,419028,147936,205191,153997,51193,1359661,126246,202343,321670,2211214,1146928,71670,678352,674221,466533,117109,1936,88643,4131,9388037,18680973
1994:Q3,age40to54,10850853,3785330,2974917,810413,7065523,709001,139926,438180,324609,113571,128561,105898,22662,1251770,204585,290966,626772,1831165,1333828,110770,1885313,1878688,1437108,361668,3459,76454,6624,8965540,28036101
1994:Q3,ageunder40,4177563,2367969,1658867,709103,1809593,278555,31861,79316,66409,12907,15095,10226,4869,266762,132966,36853,235342,308314,346928,77602,1621864,1617535,1139033,461658,2789,14056,4329,2555698,36010364
1994:Q4,age70plus,5519502,1695814,1377156,318658,3823687,898375,118037,527088,394208,132879,135267,97010,38256,741251,63726,12268,8773,724481,552901,41522,134281,132275,83821,22574,741,25139,2006,5385220,15258539
1994:Q4,age55to69,10158817,2870104,2299630,570474,7288713,843278,169577,634466,469964,164502,204970,154718,50252,1330709,121240,200700,314213,2239249,1158557,71755,697989,694034,471069,124971,2282,95712,3955,9460827,18646600
1994:Q4,age40to54,11026786,3842437,3020445,821992,7184349,717900,145482,471377,343817,127560,132619,109514,23104,1266894,210505,291384,622556,1851627,1361247,112758,1947731,1940942,1470080,388668,4650,77545,6789,9079055,28292103
1994:Q4,ageunder40,4165644,2377578,1664567,713011,1788066,277182,30050,65712,58820,6892,14590,9857,4733,254212,136468,36685,238335,316425,340180,78227,1648616,1644204,1141472,484954,3462,14315,4412,2517028,35995302
1995:Q1,age70plus,5634003,1720354,1393350,327003,3913650,894175,124249,516216,381905,134312,134204,97622,36582,807514,67394,12499,12048,736223,565944,43183,131731,129639,85241,20546,804,23048,2091,5502273,15314836
1995:Q1,age55to69,10308399,2885411,2307175,578236,7422988,853464,179800,614773,444454,170318,205807,156241,49567,1397791,118457,205425,333442,2274961,1166385,72683,696233,692443,473760,120704,2379,95600,3790,9612166,18621679
1995:Q1,age40to54,11261272,3882805,3049288,833518,7378467,734480,150860,459364,327616,131748,136977,113480,23497,1349213,218371,297466,652989,1876275,1386942,115530,1979434,1972469,1494456,395049,5497,77466,6965,9281838,28544321
1995:Q1,ageunder40,4214587,2387329,1665390,721939,1827258,281344,28108,73366,64356,9010,14376,9751,4625,265189,140443,37405,251471,325609,330456,79491,1649179,1644683,1138978,488247,3797,13661,4496,2565408,35979922
1995:Q2,age70plus,5719995,1703163,1375644,327519,4016832,893219,132650,498165,374886,123279,131840,96976,34864,880960,72069,13218,15096,754446,580328,44841,131515,129335,84594,21271,937,22533,2180,5588480,15369848
1995:Q2,age55to69,10481360,2899318,2309271,590047,7582041,868123,193591,597638,431303,166335,206014,157123,48891,1472949,116745,215861,351601,2309771,1176108,73641,711203,707575,482298,124426,2661,98189,3628,9770156,18607733
1995:Q2,age40to54,11584360,3995067,3143548,851520,7589292,755842,158337,443639,316893,126746,140746,116855,23891,1437758,227197,308686,682214,1903507,1413069,118298,2029829,2022685,1524416,413438,7045,77787,7144,9554530,28791019
1995:Q2,ageunder40,4272836,2395091,1679845,715246,1877745,288891,26594,86349,67357,18991,13968,9453,4515,277971,144634,38917,264115,334318,321244,80745,1673960,1669379,1147527,503991,4518,13342,4581,2598876,35964678
1995:Q3,age70plus,5844326,1692961,1364116,328845,4151366,881484,137034,507517,375865,131652,129075,95953,33122,972457,74644,13600,19442,771612,600396,44106,139321,137052,87988,22884,1049,25131,2270,5705005,15423666
1995:Q3,age55to69,10624301,2842155,2243545,598610,7782146,871784,201102,613229,434848,178381,206052,157806,48246,1568810,112964,222520,376781,2343474,1192594,72837,731557,728089,489787,129407,2846,106049,3468,9892744,18606286
1995:Q3,age40to54,11837587,4016349,3151294,865055,7821238,763401,161781,450023,313709,136315,144183,119903,24281,1541323,234082,316344,720814,1928666,1441338,119281,2088591,2081268,1558415,435293,8642,78917,7324,9748996,29030460
1995:Q3,ageunder40,4277436,2366696,1654182,712514,1910740,286611,24048,84602,67795,16807,13512,9108,4404,295628,148307,39874,279399,342597,315597,80565,1699661,1694996,1154147,522016,5161,13672,4665,2577775,35950021
1995:Q4,age70plus,5999051,1711931,1382573,329358,4287120,886432,139356,530340,371574,158766,137026,103899,33127,1048779,74833,13970,19799,799304,592406,44875,141584,139289,86163,26726,1393,25008,2295,5857467,15476364
1995:Q4,age55to69,10909310,2872921,2263695,609225,8036390,878997,214095,633871,430587,203283,209406,162038,47368,1701758,114603,229422,394502,2381533,1204453,73751,756806,753302,503492,145163,3861,100786,3504,10152504,18618311
1995:Q4,age40to54,12082268,4057161,3178282,878879,8025108,766100,169037,467163,309151,158012,149867,126388,23479,1637183,238375,317129,757295,1943351,1459034,120575,2126547,2119150,1570851,454134,11937,82228,7398,9955721,29261532
1995:Q4,ageunder40,4360795,2376542,1664698,711844,1984253,291328,27254,68875,68875,0,15774,11515,4259,330352,152394,40571,293882,342172,340627,81024,1727521,1722795,1160001,542137,7240,13417,4726,2633275,35936192
1996:Q1,age70plus,6101272,1757633,1424611,333022,4343638,900022,148130,525583,364535,161049,140304,107227,33076,1072009,73280,14361,19891,825931,579334,44795,145221,142906,84557,24831,1013,32505,2314,5956051,15527933
1996:Q1,age55to69,11136531,2921995,2301148,620847,8214535,896253,238340,629822,421226,208596,209901,163443,46458,1773750,114582,236680,411302,2418400,1211429,74076,785374,781836,523379,147507,2858,108093,3538,10351157,18642591
1996:Q1,age40to54,12257741,4085469,3192920,892549,8172272,780230,182871,463406,302115,161291,153750,131090,22660,1689602,241018,318078,792316,1955538,1474254,121208,2145549,2138084,1592932,449329,8228,87594,7466,10112192,29485617
1996:Q1,ageunder40,4450931,2388007,1671983,716025,2062924,303889,32178,70496,70496,0,17441,13335,4106,349522,156067,41298,307972,341286,361798,80978,1743150,1738364,1177991,540540,5113,14721,4786,2707781,35922588
1996:Q2,age70plus,6173784,1775119,1445594,329525,4398666,899168,140405,546767,377007,169760,135443,102466,32977,1104616,72914,14673,18229,852356,569291,44802,152191,149851,88072,26731,1339,33709,2339,6021594,15578342
1996:Q2,age55to69,11361159,2962530,2329533,632997,8398629,897994,236313,669328,451112,218215,206367,160850,45517,1857068,115829,243160,419732,2455953,1222371,74514,809352,805775,539168,157703,3854,105050,3577,10551807,18677359
1996:Q2,age40to54,12452386,4151622,3243555,908067,8300763,775262,180560,481539,312595,168943,154923,133097,21826,1750153,244778,318194,816105,1966741,1490623,121886,2186496,2178959,1616399,459998,11267,91295,7538,10265890,29704722
1996:Q2,ageunder40,4509673,2390353,1682127,708227,2119320,303069,33257,67172,67172,0,17873,13927,3946,371061,160022,41897,318933,340265,384785,80986,1767382,1762534,1188569,552148,7089,14729,4848,2742292,35908392
1996:Q3,age70plus,6195004,1806497,1477005,329492,4388507,903711,140757,541577,385251,156327,132233,99373,32860,1081292,74537,14906,17373,878372,558232,45517,159157,156794,92049,28525,1460,34761,2362,6035847,15627562
1996:Q3,age55to69,11523526,3002654,2356353,646301,8520872,906069,248108,685833,473617,212215,203744,159172,44573,1874578,119136,248814,432791,2493567,1232712,75520,832890,829272,555552,167652,4284,101785,3618,10690636,18720848
1996:Q3,age40to54,12592240,4207703,3283915,923788,8384537,777536,186438,480226,319239,160986,156938,135965,20973,1763212,250447,317476,845931,1976797,1506451,123086,2226909,2219301,1641572,470351,12414,94964,7607,10365331,29920853
1996:Q3,ageunder40,4569533,2396414,1690821,705594,2173119,307130,36419,69285,64644,4641,18689,14906,3783,375930,164454,42362,331640,339035,406767,81409,1791045,1786136,1200191,563320,7923,14702,4908,2778489,35892792
1996:Q4,age70plus,6357280,1866553,1534879,331674,4490727,903648,143064,542187,392007,150180,149349,116595,32754,1127659,76453,13574,26694,900813,561306,45980,166156,163773,93368,31081,1167,38157,2383,6191124,15675563
1996:Q4,age55to69,11810492,3033822,2379917,653905,8776670,909387,263811,704581,493803,210778,209611,165962,43649,1974873,122794,236227,496038,2523846,1259134,76369,861537,857878,572063,180024,3475,102316,3658,10948956,18771290
1996:Q4,age40to54,12791619,4206776,3275314,931462,8584844,773934,194480,482364,324525,157839,165585,145489,20096,1836344,256437,300310,941480,1980918,1528898,124094,2263378,2255702,1662387,484503,9518,99294,7675,10528242,30136016
1996:Q4,ageunder40,4680774,2409883,1698995,710888,2270891,307070,40209,71969,62377,9592,23210,19589,3620,400852,168942,40278,362096,336444,438142,81678,1815396,1810428,1210812,578269,6202,15144,4969,2865378,35874971
1997:Q1,age70plus,6361665,1906717,1572836,333881,4454948,905843,147863,490408,379122,111286,140913,108363,32550,1115104,76975,13999,22634,927090,567467,46652,170270,167911,96795,28516,1567,41034,2358,6191395,15722315
1997:Q1,age55to69,11922937,3068133,2402483,665650,8854804,915424,284369,651992,471497,180495,204616,161986,42630,2004721,125105,244216,494007,2563578,1289376,77400,873216,869547,584125,178672,4760,101991,3669,11049721,18826920
1997:Q1,age40to54,12858815,4230389,3286250,944139,8628427,773512,205233,440885,312228,128657,166538,147315,19224,1858582,261156,301726,951522,1990853,1553152,125267,2280055,2272353,1679629,475846,13361,103517,7703,10578760,30352217
1997:Q1,ageunder40,4772229,2415393,1702019,713374,2356836,308993,44774,99655,66151,33504,23425,19980,3445,408099,173078,41050,369253,335199,471248,82062,1813301,1808279,1212900,571142,8763,15474,5022,2958928,35854115
1997:Q2,age70plus,6645226,1926808,1598623,328185,4718418,909651,140062,491306,374492,116814,146459,113881,32578,1333958,79291,15545,32174,956388,566212,47373,178482,176146,99653,29453,1739,45302,2335,6466744,15767788
